 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Circ.,Skew,AR,Round,Solidity
1,Mesh_subdomain-1.png,0.311,255,0,255,255,255,0.638,0.454,0.638,0.454,4.215,0.220,NaN,1.967,0.508,0.461
2,Mesh_subdomain-1.png,0.310,255,0,255,255,255,6.502,0.453,6.502,0.453,4.179,0.223,NaN,1.967,0.508,0.467
3,Mesh_subdomain-1.png,0.311,255,0,255,255,255,0.639,6.324,0.639,6.324,4.244,0.217,NaN,1.967,0.508,0.456
4,Mesh_subdomain-1.png,0.310,255,0,255,255,255,6.502,6.325,6.502,6.325,4.211,0.220,NaN,1.967,0.508,0.461
