 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Circ.,Skew,AR,Round,Solidity
1,Scolor_TP_075.png,43.512,255,0,255,255,255,26.177,6.680,26.177,6.680,26.306,0.790,NaN,1.086,0.921,0.989
2,Scolor_TP_075.png,43.238,255,0,255,255,255,19.174,6.688,19.174,6.688,26.222,0.790,NaN,1.077,0.929,0.991
3,Scolor_TP_075.png,42.313,255,0,255,255,255,12.173,6.684,12.173,6.684,25.976,0.788,NaN,1.046,0.956,0.994
4,Scolor_TP_075.png,40.960,255,0,255,255,255,5.171,6.687,5.171,6.687,25.588,0.786,NaN,1.000,1.000,1.000
